# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down
2470,1684559350,7904000,0.267533839,1.360149145,-0.265459448,1.596883178,-0.265257359,1.305662513
2471,1684559350,7907200,0.267533839,1.360149145,-0.265459448,1.596883178,-0.265316814,1.475993633
2472,1684559353,7910400,0.267533839,1.360149145,-0.264401019,1.649547696,-0.265316814,1.475993633
2473,1684559358,7913600,0.267867297,1.385212064,-0.264401019,1.649547696,-0.265316814,1.475993633
2474,1684559359,7916800,0.267867297,1.385212064,-0.264401019,1.649547696,-0.2657938,1.274237394
2475,1684559362,7920000,0.267867297,1.385212064,-0.263893247,1.544808269,-0.2657938,1.274237394
2476,1684559366,7923200,0.266791314,1.312118649,-0.263893247,1.544808269,-0.2657938,1.274237394
2477,1684559367,7926400,0.266791314,1.312118649,-0.263893247,1.544808269,-0.263728023,1.4168818
2478,1684559371,7929600,0.266791314,1.312118649,-0.263365895,1.547815084,-0.263728023,1.4168818
2479,1684559374,7932800,0.268344074,1.135778904,-0.263365895,1.547815084,-0.263728023,1.4168818
2480,1684559375,7936000,0.268344074,1.135778904,-0.263365895,1.547815084,-0.265741915,1.270719886
2481,1684559379,7939200,0.268344074,1.135778904,-0.264024317,1.547481775,-0.265741915,1.270719886
2482,1684559382,7942400,0.265400946,1.254994631,-0.264024317,1.547481775,-0.265741915,1.270719886
2483,1684559384,7945600,0.265400946,1.254994631,-0.264024317,1.547481775,-0.264564306,1.096365333
2484,1684559389,7948800,0.265400946,1.254994631,-0.264350265,1.330756187,-0.264564306,1.096365333
2485,1684559390,7952000,0.265496045,1.173597693,-0.264350265,1.330756187,-0.264564306,1.096365333
2486,1684559393,7955200,0.265496045,1.173597693,-0.264350265,1.330756187,-0.265925407,1.158892751
2487,1684559397,7958400,0.265496045,1.173597693,-0.264707685,1.587698817,-0.265925407,1.158892751
2488,1684559398,7961600,0.265847862,1.23022306,-0.264707685,1.587698817,-0.265925407,1.158892751
2489,1684559402,7964800,0.265847862,1.23022306,-0.264707685,1.587698817,-0.264982909,1.495292783
2490,1684559406,7968000,0.265847862,1.23022306,-0.263642371,1.690317392,-0.264982909,1.495292783
2491,1684559407,7971200,0.263732433,1.18041575,-0.263642371,1.690317392,-0.264982909,1.495292783
2492,1684559410,7974400,0.263732433,1.18041575,-0.263642371,1.690317392,-0.264838517,1.560057998
2493,1684559415,7977600,0.263257831,1.263568282,-0.263642371,1.690317392,-0.264838517,1.560057998
2494,1684559416,7980800,0.263257831,1.263568282,-0.263447136,1.84100759,-0.264838517,1.560057998
2495,1684559419,7984000,0.263257831,1.263568282,-0.263447136,1.84100759,-0.264616132,1.548313141
2496,1684559423,7987200,0.260863721,1.455201745,-0.263447136,1.84100759,-0.264616132,1.548313141
2497,1684559424,7990400,0.260863721,1.455201745,-0.262595654,1.858406901,-0.264616132,1.548313141
2498,1684559427,7993600,0.260863721,1.455201745,-0.262595654,1.858406901,-0.263021916,1.428332686
2499,1684559431,7996800,0.25905329,1.244238734,-0.262595654,1.858406901,-0.263021916,1.428332686
2500,1684559433,8000000,0.25905329,1.244238734,-0.261580467,1.539352179,-0.263021916,1.428332686
2501,1684559436,8003200,0.25905329,1.244238734,-0.261580467,1.539352179,-0.261845469,1.272305727
2502,1684559439,8006400,0.258880347,1.160664439,-0.261580467,1.539352179,-0.261845469,1.272305727
2503,1684559442,8009600,0.258880347,1.160664439,-0.261387289,1.471182823,-0.261845469,1.272305727
2504,1684559444,8012800,0.258880347,1.160664439,-0.261387289,1.471182823,-0.260731578,1.541893601
2505,1684559447,8016000,0.259226114,1.707491279,-0.261387289,1.471182823,-0.260731578,1.541893601
2506,1684559451,8019200,0.259226114,1.707491279,-0.262889713,2.085405111,-0.260731578,1.541893601
2507,1684559453,8022400,0.259226114,1.707491279,-0.262889713,2.085405111,-0.259823024,1.431845069
2508,1684559456,8025600,0.258761913,1.55834353,-0.262889713,2.085405111,-0.259823024,1.431845069
2509,1684559460,8028800,0.258761913,1.55834353,-0.261279672,1.471345782,-0.259823024,1.431845069
2510,1684559462,8032000,0.258761913,1.55834353,-0.261279672,1.471345782,-0.259403348,1.307471037
2511,1684559464,8035200,0.258345246,1.238437891,-0.261279672,1.471345782,-0.259403348,1.307471037
2512,1684559469,8038400,0.258345246,1.238437891,-0.261128277,1.733105421,-0.259403348,1.307471037
2513,1684559470,8041600,0.258345246,1.238437891,-0.261128277,1.733105421,-0.257810861,1.383098125
2514,1684559472,8044800,0.258398622,1.252416015,-0.261128277,1.733105421,-0.257810861,1.383098125
2515,1684559478,8048000,0.258398622,1.252416015,-0.260493457,1.715582848,-0.257810861,1.383098125
2516,1684559479,8051200,0.258398622,1.252416015,-0.260493457,1.715582848,-0.258291423,1.40308249
2517,1684559480,8054400,0.259269625,1.277673364,-0.260493457,1.715582848,-0.258291423,1.40308249
2518,1684559487,8057600,0.259269625,1.277673364,-0.261371613,1.641068935,-0.258291423,1.40308249
2519,1684559487,8060800,0.259269625,1.277673364,-0.261371613,1.641068935,-0.26064834,1.35681057
2520,1684559488,8064000,0.262137562,1.262714863,-0.261371613,1.641068935,-0.26064834,1.35681057
2521,1684559495,8067200,0.262137562,1.262714863,-0.260273784,1.692809701,-0.26064834,1.35681057
